"word";"in documents";"total";"att_1"
"bloom";1;2;
"bloomsdai";1;2;
"blot";1;2;
"blow";1;1;
"blowsi";1;1;
"bluegrass";1;1;
"blusteri";1;1;
"blyth";1;1;
"boa";1;1;
"board";4;5;
"boardwalk";1;1;
"boast";3;6;
"boat";8;12;
"boatmen";1;1;
"bodi";4;8;
"boggi";1;1;
"bogsid";1;1;
"boi";3;7;
"bomb";2;7;
"bond";1;1;
"bone";4;4;
"bookshop";2;3;
"boom";1;2;
"boost";1;1;
"border";5;8;
"borough";2;2;
"botan";2;7;
"botch";1;1;
"bottom";1;1;
"boucicault";1;1;
"boulder";2;2;
"boulevard";1;3;
"bow";1;1;
"bowl";1;3;
"bowler";1;1;
"box";3;4;
"boyn";4;12;
"brace";1;1;
"brack";1;1;
"brai";2;11;
"branch";3;4;
"brand";1;2;
"brandi";1;1;
"brash";1;1;
"break";2;3;
"breakfast";1;1;
"breakwat";1;1;
"breanle";1;2;
"breath";1;1;
"breather";1;1;
"breed";3;4;
"brena";1;1;
"brendan";2;2;
"brethren";1;1;
"brew";2;4;
"brewer";1;1;
"breweri";2;9;
"brian";1;1;
"brick";2;4;
"brickwork";1;1;
"bride";1;1;
"bridg";8;16;
"bridget";2;2;
"brief";1;1;
"brien";2;4;
"brilliantli";1;1;
"bristol";1;2;
"britain";3;5;
"britann";1;1;
"british";5;26;
"briton";1;1;
"britta";1;1;
"brocqui";1;2;
"bronz";5;9;
"brooch";1;1;
"brother";1;2;
"bruce";1;1;
"brunch";1;1;
"bryansford";1;3;
"brú";1;2;
"bs";1;3;
"bu";3;4;
"bucket";1;1;
"buffalo";1;1;
"bui";1;1;
"buil";1;1;
"bulb";1;1;
"bulk";1;1;
"bull";1;1;
"bullet";1;1;
"bump";1;1;
"bungl";1;1;
"bunt";1;1;
"bureau";1;1;
"burgeon";1;1;
"buri";2;7;
"burial";4;4;
"burk";1;1;
"burn";1;1;
"burnt";2;2;
"burren";2;2;
"buse";1;2;
"bush";1;1;
"bushmil";1;1;
"busi";4;10;
"busier";1;1;
"businessmen";1;1;
"bust";1;2;
"bustl";3;3;
"butcher";1;2;
"butter";1;1;
"butterfli";2;2;
"butterwort";1;1;
"button";1;1;
"buzzard";1;1;
"bó";2;2;
"bóinn";1;2;
"cab";1;1;
"cabaret";1;1;
"cabinet";2;2;
"cachet";1;1;
"café";5;15;"0.06682691780147322"
"cage";1;1;
"caher";1;1;
"caherdaniel";1;3;
"cahersiveen";1;1;
"cairn";3;3;
"cairnryan";1;1;
"cake";1;1;
"calcit";1;2;
"caledon";1;1;
"calendar";1;1;
"call";7;15;
"calm";1;1;
"camogi";1;1;
"camp";1;2;
"campaign";3;3;
"campsit";2;2;
"campu";1;1;
"canada";1;1;
"canal";1;10;
"canalwai";1;2;
"candida";1;1;
"canon";1;1;
"cantilev";1;1;
"canvas";1;1;
"capac";3;3;
"capel";1;1;
"capit";3;6;
"cappuccino";1;1;
"captor";1;1;
"captur";3;4;
"car";3;6;
"cara";1;2;
"caravaggio";1;1;
"care";1;1;
"career";3;5;
"carlingford";1;2;
"carlisl";1;1;
"carnfunnock";1;1;
"carniv";1;2;
"carnivor";1;2;
"carnlough";1;4;
"carrauntoohil";1;3;
"carri";3;7;
"carriag";1;1;
"carrick";1;2;
"carrickfergu";1;2;
"carson";1;3;
"cart";1;1;
"cartoon";1;1;
"carv";6;10;
"case";3;5;
"casement";1;1;
"casino";2;7;
"cast";2;2;
"castl";5;26;
"castlebar";1;1;
"castlerock";1;1;
"castletown";1;4;
"castlewellan";1;2;
"cat";1;1;
"catalogu";1;2;
"cataract";1;1;
"catch";7;7;
"cathach";1;1;
"cathair";1;1;
"cathedr";4;14;
"cathol";5;30;
"caulfield";1;1;
"caus";3;4;
"cave";4;20;
"cavern";2;2;
"cd";1;1;
"cealtchair";1;2;
"ceas";1;1;
"ceil";2;3;
"ceilidh";1;1;
"celbridg";1;1;
"celebr";4;10;
"cell";1;1;
"celt";1;1;
"celtchar";1;1;
"cemeteri";3;10;
"centenari";1;1;
"center";1;1;
"centimetr";1;1;
"centrepiec";1;1;
"ceram";1;1;
"ceremoni";2;2;
"certainli";1;1;
"chain";3;3;
"chair";2;2;
"chalic";1;1;
"chalk";1;1;
"challeng";2;2;
"chamber";3;5;
"champagn";1;1;
"championship";1;1;
"chanc";1;1;
"chang";3;7;
"changeabl";1;1;
"channel";1;2;
"chapel";2;3;
"chapter";1;1;
"charact";2;8;
"character";1;3;
"characterist";3;4;
"charg";2;2;
"charisma";1;1;
"charismat";2;2;
"chariti";1;1;
"charl";2;2;
"charlemont";1;3;
"charlott";1;1;
"charm";3;4;
"charter";2;4;
"chat";1;1;
"chees";1;1;
"cherrymount";1;1;
"cherub";1;1;
"chester";1;2;
"chichest";1;1;
"chicken";1;1;
"chief";3;3;
"chiefli";2;2;
"child";1;1;
"childhood";1;1;
"children";3;7;
"chines";1;3;
"chintzi";1;1;
"chocol";1;1;
"choic";5;8;
"choos";1;2;
"choppi";1;1;
"chough";1;1;
"christ";2;3;
"christian";5;13;
"chronolog";2;2;
"chunki";1;1;
"church";7;27;
"ciarán";1;1;
"cinema";2;5;
"circl";3;6;
"circuit";2;2;
"cistern";1;1;
"citi";6;138;
"citizenship";1;1;
"citywid";1;1;
"claim";3;5;
"clan";1;2;
"clandeboy";1;2;
"clare";4;5;
"clark";1;1;
"class";2;6;
"classic";4;8;
"clench";1;2;
"clergi";1;1;
"clerk";1;1;
"cliath";1;1;
"cliff";7;20;
"cliffsid";2;2;
"clifftop";1;1;
"climat";1;1;
"climb";4;10;
"clock";1;1;
"clonfert";1;1;
"clonmacnoi";1;1;
"cloondara";1;1;
"closur";1;1;
"cloth";3;3;
"cloud";2;2;
"clough";1;2;
"club";2;10;
"clubber";1;1;
"cluster";1;1;"cluster_0"
"co";3;7;
"coars";1;1;
"coast";6;23;
"coastal";2;5;
"coastlin";2;5;
"coat";1;1;
"cofound";1;1;
"coin";1;1;
"coinag";1;1;
"coincid";2;2;
"col";1;1;
"cole";1;1;
"colerain";1;2;
"collar";1;2;
"collector";1;1;
"colleg";3;9;
"collid";1;1;
"colligan";1;1;
"colloqui";1;1;
"colmcil";2;2;
"colonel";2;4;
"coloni";1;1;
"colonist";3;4;
"coloss";1;1;
"colour";4;6;
"columba";2;2;
"column";1;1;
"com";8;28;
"combat";1;1;
"combin";1;1;
"command";5;5;
"commedagh";1;2;
"commemor";6;15;
"commenc";2;2;
"comment";1;2;
"commerci";2;2;
"commiss";3;3;
"commun";4;12;
"commut";2;3;
"compact";3;3;
"compani";5;11;
"compar";3;3;
"compass";2;2;
"compel";3;4;
"compens";1;1;
"compet";1;2;
"complement";1;1;
"complet";5;13;
"complex";5;11;
"complic";1;1;
"complimentari";1;1;
"compon";1;1;
"compos";3;3;
"comprehens";6;6;
"compris";2;2;
"comput";1;1;
"conceiv";3;3;
"concentr";5;12;
"conceptu";1;1;
"concern";2;2;
"concert";2;8;
"concessionari";1;1;
"conclud";1;1;
"concoct";1;1;
"conduct";1;1;
"cone";1;1;
"confid";2;2;
"confin";1;1;
"confisc";1;1;
"conflict";1;2;
"confus";1;1;
"connacht";1;1;
"connaught";1;1;
"connel";1;17;
"connolli";1;1;
"connor";2;2;
"conolli";1;3;
"conor";1;1;
"conquer";1;2;
"conquest";2;2;
"consciou";1;2;
"consequ";5;5;
"conserv";3;5;
"consid";1;2;
"consol";1;2;
"constabulari";1;1;
"constanc";1;1;
"constitut";1;1;
"consum";1;2;
"contempl";1;1;
"contemporari";3;4;
"content";1;1;
"contest";1;1;
"context";1;1;
"contract";1;1;
"contrast";3;5;
"contrastingli";1;1;
"control";5;9;
"controversi";3;3;
"convers";1;1;
"convert";3;5;
"conwai";1;2;
"conygham";1;1;
"conyngham";1;1;
"cook";1;1;
"cookstown";1;2;
"coolei";1;1;
"coomloughra";1;1;
"coop";1;1;
"cooper";1;1;
"copi";2;2;
"core";4;4;
"cork";4;4;
"corner";4;8;
"cornucopia";1;1;
"corpor";1;2;
"corps";1;1;
"correl";1;1;
