"word";"in documents";"total";"att_1"
"breathtak";1;1;
"breed";1;1;
"breezi";1;1;
"bric";1;1;
"brick";1;1;
"bridg";5;22;
"brief";2;4;
"briefli";1;1;
"brightli";2;2;
"brighton";1;1;
"britain";3;3;
"briteiro";1;5;
"british";1;1;
"brood";1;1;
"brother";1;1;
"brows";1;1;
"browser";10;20;
"brunt";1;2;
"bu";4;7;
"bubbl";1;1;
"bucol";2;3;
"budget";6;6;
"bui";3;4;
"bulb";1;1;
"bulk";1;1;
"bullfight";1;1;
"bullr";1;1;
"bulwark";1;1;
"burgau";1;6;
"burgo";1;1;
"burial";1;1;
"burn";1;2;
"burst";1;1;
"buse";2;2;
"busi";7;14;
"bustard";1;1;
"buçaco";1;6;
"c";10;20;
"cabana";1;10;
"cabeço";1;1;
"cabo";3;7;
"cabra";1;1;
"cacela";1;3;
"cachena";1;1;
"cacém";2;6;
"cadeia";1;1;
"caesar";1;1;
"cafe";2;2;
"café";8;45;"0.06682691780147322"
"cage";1;2;
"cai";1;1;
"calda";3;7;
"caldo";1;1;
"cale";1;1;
"caleiro";1;2;
"calicut";1;1;
"call";5;12;
"calm";1;1;
"calçada";1;1;
"caminha";1;3;
"caminho";1;1;
"campanhã";1;1;
"camper";1;1;
"campervann";1;2;
"campo";3;6;
"campsit";1;1;
"camõ";2;2;
"canada";1;2;
"canal";1;2;
"candal";1;1;
"caneiro";1;1;
"cano";1;1;
"canoodl";1;1;
"canopi";1;1;
"cap";2;3;
"cape";4;5;
"capela";1;2;
"capelo";1;2;
"capit";5;13;
"captiv";1;1;
"capucho";1;4;
"car";6;15;
"caramulinho";1;2;
"caramulo";1;13;
"carbon";1;1;
"cardoso";1;1;
"care";1;1;
"career";1;1;
"carefulli";1;1;
"cargo";1;1;
"caribbean";10;60;
"caricatur";1;1;
"carlo";1;1;
"carmelit";1;1;
"carmo";2;3;
"carniv";2;5;
"carpet";2;3;
"carrapateira";1;4;
"carrapeteira";1;1;
"carri";1;1;
"carriag";2;3;
"cart";1;1;
"carv";3;4;
"carvoeiro";1;9;
"casa";3;8;
"casal";1;4;
"cascai";1;1;
"cascata";1;1;
"case";3;5;
"casino";1;1;
"cask";1;6;
"castelo";6;23;
"castl";7;50;
"castreja";1;1;
"castro";3;5;
"catch";1;1;
"caterina";1;2;
"cathedr";4;9;
"catherin";1;1;
"caus";1;1;
"cave";3;5;
"cavort";1;1;
"caíqu";1;1;
"cd";2;3;
"ceil";2;8;
"ceira";1;1;
"celebr";3;6;
"cell";3;5;
"cellar";1;1;
"celorico";1;1;
"celt";2;2;
"centr";8;52;
"centro";2;2;
"centuri";9;81;"0.02878078694539205"
"ceram";4;4;
"cerdeira";1;1;
"certainli";5;9;
"certif";2;2;
"chafariz";1;1;
"chain";1;1;
"chainsaw";1;1;
"chair";1;1;
"challeng";1;1;
"chamilli";1;1;
"champagn";1;1;
"championship";2;2;
"chanc";1;1;
"chang";5;7;
"chapa";1;2;
"chapel";3;6;
"chapter";1;1;
"charact";4;9;
"character";1;1;
"characterist";1;1;
"charl";1;1;
"charm";6;10;
"charter";1;1;
"chat";10;10;
"check";10;24;
"checkconnect";10;20;
"chees";4;7;
"chestnut";2;2;
"chief";1;1;
"child";1;1;
"children";4;5;
"chill";1;1;
"chimnei";2;3;
"chines";1;1;
"chip";1;1;
"chiqueiro";1;1;
"choic";3;4;
"choos";1;1;
"christ";1;1;
"christian";4;7;
"christma";1;1;
"chunki";1;1;
"church";6;30;
"chá";1;2;
"chão";1;2;
"ciclo";1;1;
"cidad";1;1;
"cigarett";1;1;
"cima";1;1;
"cinta";1;1;
"cintra";1;1;
"circl";1;1;
"circuit";1;4;
"circuito";1;1;
"cisn";1;1;
"cistern";2;2;
"citadel";1;2;
"citi";10;46;
"cityscap";1;1;
"citânia";1;3;
"claim";2;2;
"clamber";1;1;
"clamp";1;1;
"clara";1;1;
"class";1;2;
"classic";4;4;
"claustrophob";1;1;
"cleaner";1;1;
"clearest";1;1;
"clergi";1;1;
"cleverli";1;1;
"cliff";5;11;
"clifftop";1;1;
"climat";1;1;
"climb";5;10;
"clip";1;1;
"clock";2;3;
"cloister";1;3;
"cloth";4;5;
"cloud";2;2;
"club";2;3;
"clube";1;1;
"cluster";4;7;"cluster_0"
"clérigo";2;2;
"cm";2;3;
"co";2;2;
"coachload";1;1;
"coast";6;44;
"coastal";1;2;
"coastlin";3;5;
"coat";1;1;
"cobalt";1;1;
"cobbl";5;21;
"coburg";1;1;
"cochin";1;1;
"cock";1;3;
"cockburn";1;1;
"coffe";1;1;
"coimbra";5;32;
"coin";1;1;
"coincid";1;1;
"coja";1;1;
"colar";1;1;
"cold";4;5;
"colder";1;1;
"colheita";1;1;
"colleg";1;1;
"coloni";2;2;
"colonnad";1;1;
"color";1;1;
"colour";5;10;
"colourfulli";1;1;
"com";1;1;
"comadr";1;1;
