"word";"in documents";"total";"att_1"
"forest";4;7;
"forev";1;1;
"form";1;1;
"founder";1;1;
"fr";10;20;
"francisco";1;1;
"frankfurt";2;6;
"freie";1;1;
"french";1;1;
"friend";1;1;
"frisian";1;2;
"front";1;1;
"frontier";1;1;
"fruit";1;1;
"function";10;20;
"fuse";1;1;
"futur";1;1;
"füssen";1;1;
"gad";10;20;
"gale";1;1;
"galleri";10;12;
"galx";10;20;
"game";1;1;
"gap";10;20;
"garden";1;1;
"gate";10;21;
"gdr";1;1;
"geiselgasteig";1;1;
"gentl";1;2;
"german";10;23;
"germani";10;81;
"giant";3;3;
"giorgio";1;1;
"glitter";1;1;
"gp";1;1;
"grace";1;1;
"graduat";1;1;
"grant";1;1;
"grass";1;1;
"greec";1;1;
"grimi";1;1;
"groom";1;1;
"ground";1;1;
"group";10;11;
"guest";10;20;
"guid";10;119;
"gutach";1;1;
"half";1;1;
"hamburg";6;12;
"hann";1;1;
"hanseat";1;2;
"hansestadt";1;1;
"harvest";1;1;
"haunt";2;2;
"head";1;1;
"headquart";10;11;
"heart";3;3;
"heavyweight";1;1;
"hedonist";1;1;
"height";1;1;
"help";10;32;
"heritag";2;2;
"highli";1;1;
"hike";2;2;
"hiker";1;1;
"hill";1;1;
"hip";1;1;
"hippi";1;1;
"hipster";1;1;
"histor";3;4;
"histori";4;10;
"hitler";1;1;
"hohenzollern";1;1;
"holidai";1;1;
"holstein";6;7;
"holsteinisch";1;1;
"homeland";1;1;
"homespun";1;1;
"hometown";1;1;
"hop";1;1;
"hors";1;1;
"host";1;1;
"hotel";1;1;
"hour";1;1;
"hsid";10;20;
"hub";2;2;
"hug";1;1;
"hunker";1;1;
"ibiza";1;1;
"idyl";2;2;
"ii";5;7;
"imag";1;1;
"imagin";1;1;
"imbib";1;1;
"immigr";2;2;
"imperi";2;2;
"import";1;1;
"improv";10;10;
"incom";1;1;
"incorpor";1;1;
"increas";1;1;
"individu";10;10;
"industri";2;3;
"industrialist";1;1;
"inherit";1;1;
"insight";9;9;
"inspir";10;20;
"integr";1;1;
"intellectu";1;1;
"intent";10;10;
"interact";10;10;
"interest";5;5;
"intern";2;2;
"internation";1;1;
"intersect";1;1;
"island";3;8;
"isra";1;1;
"januari";9;9;
"jew";1;1;
"jewish";2;2;
"k";10;20;
"kidnap";1;1;
"king";1;1;
"kingdom";10;13;
"kinzig";1;1;
"klau";1;1;
"klenz";1;1;
"km";2;2;
"konrad";1;1;
"köln";1;1;
"kölsch";1;2;
"lack";1;1;
"laidback";1;1;
"lake";3;5;
"lakesid";1;2;
"land";1;1;
"landmark";1;1;
"landscap";1;1;
"lang";10;20;
"latitud";1;1;
"laurel";1;1;
"lead";1;2;
"leader";1;1;
"leafi";1;1;
"leav";1;1;
"legendari";1;1;
"leisur";1;1;
"leo";1;1;
"lesbian";3;3;
"level";10;10;
"li";2;2;
"liber";2;2;
"life";2;2;
"light";1;1;
"limousin";1;1;
"linden";1;2;
"line";1;1;
"link";3;4;
"list";1;1;
"liter";2;2;
"liveabl";1;1;
"ll";1;1;
"locat";1;1;
"logist";10;10;
"look";1;1;
"loophol";1;1;
"loos";1;1;
"love";10;10;
"lsid";10;20;
"lsosid";10;20;
"ludwig";2;2;
"lustr";1;1;
"lübeck";1;1;
"m";1;1;
"mainhattan";1;1;
"mainli";1;1;
"manag";1;1;
"mann";1;1;
"manoeuvr";1;1;
"map";2;2;
"margrav";1;1;
"maritim";1;1;
"market";10;10;
