"word";"in documents";"total";"att_1"
"offer";2;2;"0.0499912366971739"
"offic";3;3;
"ongo";1;1;
"option";1;1;
"order";1;1;
"origin";10;20;
"ostrów";1;1;
"outbreak";1;1;
"oven";1;1;
"owner";10;10;
"o?wi?cim";1;1;
"pack";10;11;
"page";10;10;
"pair";1;1;
"palac";3;5;
"pan";1;1;
"panorama";1;1;
"paradis";2;2;
"park";2;2;
"part";1;1;"0.06682691780147322"
"parti";10;11;
"particip";1;1;
"partner";10;20;
"pass";2;2;
"pastri";1;1;
"peak";1;1;
"percent";1;1;
"person";10;20;
"phrasebook";1;1;
"piasek";1;1;
"piastowski";1;1;
"pick";1;1;
"picturesqu";1;1;"0.0956077047468653"
"pijarska";1;1;
"pinnacl";1;1;
"pisid";10;20;
"pizzeria";1;1;
"pl";2;2;
"place";10;22;
"plan";10;30;
"pleas";10;10;
"plenti";1;1;
"pm";6;22;
"pocket";1;1;
"poignantli";1;1;
"poland";10;57;
"polici";10;10;
"polish";3;4;
"polit";1;1;
"pop";1;1;
"popul";1;1;
"portug";1;1;
"posit";1;1;
"pot";1;1;
"poznan";1;1;
"pref";10;20;
"price";2;2;
"pricier";1;1;
"primit";1;1;
"prison";1;1;
"privaci";10;10;
"privat";1;1;
"process";10;21;
"promin";1;1;
"properli";10;10;
"prosper";1;1;
"purchas";10;10;
"pyrene";1;1;
"pó?wiejska";1;1;
"quarter";1;1;
"quieter";1;1;
"quizz";9;9;
"rac?awic";1;1;
"rail";1;1;
"rambl";1;1;
"rebellion";1;1;
"ref";10;40;
"reg";10;60;
"rejuven";1;1;
"relat";10;11;
"relev";10;10;
"rembrandt";1;1;
"rememb";10;20;
"remind";1;1;
"renaiss";1;1;
"renov";2;2;
"report";10;10;
"republ";1;1;
"reserv";10;10;
"resort";1;1;
"restaur";1;1;"0.06682691780147322"
"retreat";1;1;
"reward";1;1;
"ridg";1;1;
"right";10;10;
"riot";1;1;
"river";4;4;
"rmme";10;20;
"rock";1;1;
"roma";1;1;
"room";1;1;
"rout";1;1;
"ruin";1;1;
"rule";1;1;
"run";1;2;"0.06682691780147322"
"russian";1;1;
"rynek";3;3;
"sail";1;1;
"salt";1;4;
"sapisid";10;20;
"scienc";1;1;
"se";10;10;
"sea";1;1;
"seat";1;1;
"secur";10;30;
"sept";3;4;
"seri";2;2;
"servic";1;1;
"sess";10;20;
"session";10;60;
"ship";1;1;
"shipyard";1;3;
"shop";2;2;
"shortag";1;1;
"sid";10;20;
"siebnen";10;10;
"sight";1;1;
"sign";10;30;
"sinti";1;1;
"site";10;12;
"snapshot";10;13;
"snowbound";1;1;
"solidar";1;2;
"spectacl";1;1;
"spread";1;1;
"squar";5;7;
"ss";1;1;
"ssid";10;20;
"st";1;1;
"stare";2;2;
"stari";1;1;
"starybrowar";1;1;
"stateli";1;1;
"station";2;2;
"statist";10;10;
"statu";1;1;
"stimul";10;10;
"stop";1;1;
"store";10;10;
"stori";1;1;
"street";10;21;
"strife";1;1;
"strike";1;1;
"structur";1;1;
"struggl";1;1;
"stun";1;1;
"subcultur";1;1;
"suit";1;1;
"summer";3;5;
"sun";5;10;
"surround";1;1;
"swarm";1;1;
"switzerland";10;10;
"t";1;1;
"tailor";10;10;
"tangibl";1;1;
"targ";1;1;
"tast";1;1;
"tasti";1;1;
"tatra";1;4;
"tempcooki";10;20;
"term";10;10;
"thirteenth";2;2;
"thur";1;2;
"ticket";1;1;
"time";3;3;
"tini";1;1;
"token";10;40;
"toppl";1;1;
"total";1;1;
"tour";3;5;
"tourist";1;1;
"tower";1;1;
"town";8;10;
"track";10;20;
"trade";1;1;"0.0499912366971739"
"trademark";10;10;
"tradit";1;1;
"trail";1;2;
"train";2;2;
"tranquil";2;2;
"travel";10;59;
"tricki";1;1;
"trip";10;30;
"troop";1;1;
"truli";10;10;
"trust";10;10;
"tue";2;5;
"tumski";1;1;
"tunnel";1;1;
"turkei";1;1;
"twid";10;20;
"twll";10;20;
"undamag";1;1;
"unesco";1;1;
"unit";10;10;
"univers";1;1;
"upgrad";10;10;
"usabl";10;10;
"user";10;30;
"utmv";10;20;
"valuabl";10;10;
"varsovian";1;1;
"vertigin";1;1;
"video";9;9;
"villag";1;3;
"visit";10;13;
"visitor";10;22;
"vistula";1;1;
"walk";1;2;
"walker";1;1;
"war";3;3;
"warsaw";3;8;
"warszawa";1;1;
"waterfront";2;3;
"wd";10;20;
"websit";10;60;
"weekli";10;20;
"west";1;1;
"wheel";1;1;
"wilder";1;1;
"winter";9;9;
"wis?a";2;2;
"wolnosci";1;1;
"wonderfulli";1;1;
"work";10;10;
"worker";1;1;
"world";10;12;
"worth";1;1;
"worthwhil";1;1;
"wroc?aw";1;1;
"www";2;2;
"wyspa";1;1;
"xs";10;20;
"year";1;1;"0.0499912366971739"
"youth";1;1;
"zakopan";1;2;
"z?";6;12;
"?niardwi";1;1;
"?rodmie?ci";1;1;
