"word";"in documents";"total";"att_1"
"dissid";1;1;
"distanc";1;1;
"divers";2;2;
"divid";1;1;
"dna";1;1;
"dolmen";1;1;
"domin";2;2;
"doorstep";1;1;
"dordogn";7;9;
"dramat";2;3;
"draw";1;1;
"dream";10;10;
"drench";1;1;
"drink";1;1;
"drinkabl";1;1;
"drive";1;2;
"du";3;5;
"duchess";1;1;
"dynasti";1;1;
"earthi";1;1;
"easili";2;4;
"econom";2;4;
"editori";1;1;
"effect";3;3;
"effici";1;1;
"eleg";1;2;
"elit";2;2;
"elsewher";1;1;
"embroil";1;1;
"emperor";1;1;
"empir";2;2;
"emploi";1;1;
"enabl";10;10;
"encourag";2;2;
"end";2;2;
"enemi";1;1;
"engag";10;11;
"engin";1;1;
"england";1;1;
"entir";2;2;
"entiti";1;1;
"entranc";1;3;
"environ";2;2;
"escap";9;10;
"especi";2;2;
"europ";2;3;
"european";2;2;
"event";1;1;
"everywher";1;1;
"ew";1;1;
"exampl";1;1;
"exce";1;1;
"excel";1;1;
"excitingli";1;1;
"excurs";1;1;
"exemplari";1;1;
"exhaust";10;10;
"exhibit";1;1;
"experi";10;13;
"experienc";10;11;
"expert";10;30;
"explor";10;15;
"exquisit";2;2;
"ext";10;20;
"extent";1;1;
"extern";10;20;
"extraordinari";1;1;
"fabric";1;1;
"fabul";2;2;
"facad";1;1;
"face";2;2;
"fact";1;1;
"faction";1;1;
"failur";1;1;
"fairi";1;1;
"fall";1;1;
"famili";2;2;
"famou";3;4;
"fantast";1;1;
"favourit";1;1;
"fb";10;40;
"featur";10;24;
"feel";1;1;
"fell";1;1;
"fellow";1;1;
"ferri";1;1;
"fertil";2;2;
"fervent";1;1;
"feud";1;1;
"feudal";2;2;
"field";1;1;
"fig";1;1;
"fight";1;1;
"figur";1;1;
"fill";10;11;
"film";1;1;
"financi";1;1;
"fine";1;1;
"finer";1;1;
"fire";1;1;
"firmli";1;1;
"fish";2;2;
"flashi";1;1;
"flee";1;1;
"flnc";1;2;
"flora";1;1;
"focus";1;1;
"food";9;11;
"foodi";9;9;
"foot";1;1;
"foothil";2;3;
"forai";1;1;
"forc";1;1;
"forefront";1;2;
"forest";3;3;
"form";2;2;
"format";1;1;
"fortress";1;1;
"foundat";1;1;
"fr";10;20;
"franc";10;76;
"franch";1;1;
"françoi";1;1;
"fraught";1;1;
"french";6;20;
"freshwat";1;1;
"friend";1;1;
"friendli";1;1;
"front";2;2;
"fruit";1;1;
"fun";2;2;
"function";10;20;
"furrow";1;1;
"furthermor";1;1;
"futil";1;1;
"gabl";1;1;
"gad";10;20;
"galleri";10;11;
"galx";10;20;
"game";1;1;
"gap";10;21;
"garden";2;4;
