"word";"in documents";"total";"att_1"
"onion";1;1;
"op";1;1;
"opposit";2;2;
"origin";10;20;
"ost";1;1;
"ow";1;1;
"owner";10;10;
"page";10;10;
"paint";1;1;
"pan";1;1;
"panoram";1;1;
"panorama";1;1;
"parad";1;1;
"parti";10;10;
"partner";10;10;
"pass";2;2;
"pastur";1;1;
"peak";2;2;
"person";10;10;
"photo";1;1;
"piazza";1;1;
"picasso";1;1;
"piccardi";1;1;
"picturesqu";2;2;"0.0956077047468653"
"pilatusstrass";1;1;
"pine";1;1;
"pipe";1;1;
"pisid";10;20;
"place";3;4;
"platform";1;1;
"pleas";10;10;
"pocket";1;1;
"poet";1;1;
"point";1;1;
"pointi";1;1;
"polici";10;10;
"pont";1;1;
"post";1;1;
"postbu";1;1;
"pref";10;20;
"pricei";1;1;
"privaci";10;10;
"process";10;20;
"profession";1;1;
"progress";1;1;
"promenad";1;1;
"properli";10;10;
"prussian";1;1;
"purchas";10;10;
"quarter";2;2;
"quintessenti";1;1;
"quizz";10;10;
"radic";1;1;
"rainbow";1;1;
"rate";1;1;
"reach";1;1;
"reason";1;1;
"rebuilt";1;1;
"record";1;1;
"ref";10;40;
"reg";10;60;
"region";1;3;
"relat";10;10;
"relentlessli";1;1;
"relev";10;10;
"rememb";10;20;
"renaiss";2;2;
"replac";1;1;
"report";10;10;
"reput";1;1;
"reserv";10;10;
"resort";1;1;
"rest";1;1;
"restaur";2;2;"0.06682691780147322"
"return";1;1;
"revolutionari";1;1;
"rheinfal";1;1;
"rhine";2;5;
"rhinefal";1;1;
"ride";3;4;
"ridg";1;1;
"right";10;10;
"rise";3;3;
"river";2;3;
"riverbank";1;1;
"rmme";10;20;
"road";1;1;
"romand";1;1;
"romant";1;1;
"roof";1;1;
"rout";3;3;
"rue";1;1;
"run";1;1;"0.06682691780147322"
"sapisid";10;20;
"sceneri";1;1;
"scenic";3;4;
"schaffhausen";1;2;
"schilthorn";4;6;
"schloss";1;1;
"schlössli";1;1;
"scorn";1;1;
"scurri";1;1;
"se";10;10;
"secur";10;30;
"seri";1;1;
"serv";1;1;
"servic";1;1;
"sess";10;20;
"session";10;60;
"shape";2;2;
"sheer";3;3;"0.06682691780147322"
"shore";1;2;
"shrubberi";1;1;
"shutterstock";2;2;
"sid";10;20;
"side";2;2;
"siebnen";10;10;
"sign";10;30;
"site";10;10;
"skateboard";1;1;
"ski";2;2;
"skier";1;1;
"snapshot";10;25;
