"word";"in documents";"total";"att_1"
"basque_speak";1;1;
"bass";1;1;
"bass_whit";1;1;
"bastia";1;1;
"bastia_fertil";1;1;
"bastil";1;1;
"bastille_plac";1;1;
"bath";1;1;
"bathed_mediterranean";1;1;
"battl";2;7;
"battle_normandi";1;1;
"battle_sit";1;1;
"battle_somm";1;4;
"battle_wor";1;1;
"battlefield";1;1;
"battlefields_attract";1;1;
"baux";1;2;
"baux_côt";1;1;
"baux_l";1;1;
"bayeux";1;1;
"bayeux_cout";1;1;
"bays_whit";1;1;
"bc";1;1;
"bc_settlement";1;1;
"beach";4;7;
"beach_major";1;1;
"beachcomb";1;1;
"beachcomber_charm";1;1;
"beaches_bit";1;1;
"beaches_fin";1;1;
"beaches_rocki";1;1;
"beaches_seclud";1;1;
"beaches_south";1;1;
"beaches_tow";1;1;
"bear";1;1;
"bear_mind";1;1;
"beat";10;20;
"beat_checkconnect";10;20;
"beaten_track";10;10;
"beauti";3;4;
"beautiful_convert";1;1;
"beautiful_cultur";1;1;
"beauty_cr";1;1;
"beauty_hil";1;1;
"beer";1;1;
"beer_franc";1;1;
"began_wint";1;1;
"begin_wond";1;1;
"begun_nineteenth";1;1;
"belgium";1;1;
"belgium_grac";1;1;
"belt";1;1;
"belt_tranquil";1;1;
"bequeath";1;1;
"bequeathed_world";1;1;
"berg";1;1;
"berges_d";1;1;
"birthplac";1;1;
"birthplace_island";1;1;
"bit";1;1;
"block";3;3;
"blocks_lin";1;1;
"blocks_seclud";1;1;
"bloodi";3;5;
"bloody_conflict";1;1;
"bloody_disast";1;1;
"bloody_period";1;1;
"bloody_tug";1;1;
"bloody_world";1;1;
"blossom";1;1;
"blossomed_nineteenth";1;1;
"blue_wat";1;1;
"boast";3;3;
"boast_roman";1;1;
"boasting_exquisit";1;1;
"boasts_extraordinari";1;1;
"boat";1;1;
"boat_tini";1;1;
"bobbing_anchor";1;1;
"boi";2;2;
"bois_d";1;1;
"bois_heart";1;1;
"bomb";1;1;
"bombard";1;1;
"bombardment_adv";1;1;
"bombings_hom";1;1;
"bonnard";1;1;
"bonnard_picasso";1;1;
"book";10;61;
"book_prior";1;1;
"book_rough";10;10;
"book_tailor";10;10;
"book_trip";10;20;
"booked_loc";10;10;
"books_featur";10;10;
"boot";1;1;
"booted_depress";1;1;
"border";1;1;
"borders_luxembourg";1;1;
"bought_corsica";1;1;
"boulevard";2;6;
"boulevard_c";1;1;
"boulevards_aristocrat";1;1;
"boulevards_begun";1;1;
"boulevards_easili";1;1;
"boulevards_lin";1;1;
"boulevards_teem";1;1;
"boulogn";1;1;
"boulogne_hold";1;1;
"bourgeoi";1;1;
"bourgeois_resid";1;1;
"box";1;1;
"brandi";1;1;
"brandy_aromat";1;1;
"break";1;1;
"breaking_open";1;1;
"bream";1;1;
"bream_monkfish";1;1;
"breizh";1;1;
"breizh_breton";1;1;
"breton";1;7;
"breton_brittani";1;1;
"breton_domin";1;1;
"breton_fun";1;1;
"breton_histori";1;1;
"breton_mus";1;1;
"breton_nation";1;1;
"bretons_continu";1;1;
"bridg";1;1;
"bridges_riv";1;1;
"brief";2;2;
"brief_histori";2;2;
"britain";1;3;
"britain_arthurian";1;1;
"britain_wat";1;1;
"british";1;4;
"british_armi";1;1;
"british_casualti";1;1;
"british_french";1;2;
"brittani";10;21;
"brittany_ferri";1;1;
"brittany_food";9;9;
"brittany_normandi";4;4;
"brittany_north";1;1;
"brittany_remain";1;1;
"brittany_stick";1;1;
"brittany_travel";1;1;
"brittany_visit";1;1;
"broken_success";1;1;
"browser";10;20;
"browser_improv";10;10;
"browser_pleas";10;10;
"brussel";1;1;
"brussels_corsica";1;1;
"builder";1;1;
"builders_boot";1;1;
"buildings_arrog";1;1;
"buildings_entir";1;1;
"buildings_perch";1;1;
"built_pisan";1;1;
"built_twelfth";1;1;
"bullet";1;1;
"bullet_scar";1;1;
"burgundi";6;6;
"burst";1;1;
"burst_street";1;1;
"busi";2;2;
"busiest_area";1;1;
"busy_beach";1;1;
"busy_commerci";1;1;
"c";10;20;
"c_user";10;20;
"café";2;2;"0.06682691780147322"
"cafés_bar";1;1;"0.0956077047468653"
"cafés_palm";1;1;
"call";1;1;
"called_lutetia";1;1;
"calm";1;1;
"calm_town";1;1;
"calvi";1;1;
"calvi_easili";1;1;
"came_napoléon";1;1;
"came_success";1;1;
"came_wak";1;1;
"camera";1;1;
"camera_alt";1;1;
"campsit";3;3;
"campsites_becom";1;1;
"campsites_foothil";1;1;
"campsites_plenti";1;1;
"canada";1;1;
"canada_normandi";1;1;
"candi";1;1;
"candid";1;1;
"candidate_host";1;1;
"candied_fruit";1;1;
"canig";1;1;
"canigou_dramat";1;1;
"canyon";1;1;
"canyons_sprout";1;1;
"cap";1;1;
"cap_cors";1;1;
"caper";1;1;
"capers_tapenad";1;1;
"capit";4;11;
"capita";1;1;
"capita_murd";1;1;
"capital_centuri";1;1;
"capital_kingdom";1;1;
"capital_known";1;1;
"capital_major";1;1;
"capital_north";1;1;
"capital_parisian";1;1;
"capital_pav";1;1;
"capital_remain";1;1;
"capital_rouen";1;1;
"capital_sign";1;1;
"capital_stand";1;1;
"capsicum";1;1;
"capsicum_aubergin";1;1;
"captiv";1;1;
"captivates_anci";1;1;
"car";2;2;
"caravan";1;1;
"caravan_colon";1;1;
"caribbean";10;60;
"caribbean_alsac";1;1;
"caribbean_battl";1;1;
"caribbean_centr";10;50;
"caribbean_côt";1;1;
"caribbean_explor";5;5;
"caribbean_find";2;2;"0.021210449751781844"
"carnac";1;1;
"carnac_riv";1;1;
"carrousel";1;1;
"carrousel_madelein";1;1;
"cars_remain";1;1;
"cars_textil";1;1;
"carthaginian";1;1;
"carthaginians_roman";1;1;
"carv";1;1;
"carved_timberwork";1;1;
"case";1;1;
"case_c";1;1;
"castl";2;2;
"castle_sein";1;1;
"castles_scatt";1;1;
"casualti";1;2;
"casualties_battl";1;1;
"casualties_dai";1;1;
"catalan";1;1;
"catalan_speak";1;1;
"cathedr";2;2;
"cathedral_ladi";1;1;
"cathedrals_bayeux";1;1;
"cathol";2;2;
"catholic_parisian";1;1;
"catholic_ritu";1;1;
"cathédral";1;1;
"cathédral_d";1;1;
"celebr";1;1;
"celebrate_breton";1;1;
"celt";1;1;
"celtic_artist";1;1;
"celtic_cultur";1;1;
"celtic_trib";1;1;
"celts_treat";1;1;
"cemeteri";1;1;
"cemeteries_book";1;1;
"centr";3;6;
"central_america";10;60;
"central_region";1;1;
"centralizing_administr";1;1;
"centre_elsewher";1;1;
"centre_parti";1;1;
"centre_pompid";1;1;
"centre_scholast";1;1;
"centres_grand";1;1;
"centuri";7;17;"0.02878078694539205"
"centuries_french";2;2;
"centuries_impos";1;1;
"centuries_island";1;1;
"centuries_old";1;1;
"centuries_pari";1;1;
"centuries_pref";1;1;
"century_baron";1;1;
"century_bc";1;1;
"century_citadel";1;1;
"century_dismantl";1;1;
"century_foreign";1;1;
"century_fortif";1;1;
"century_mans";1;1;
"century_onward";1;1;
"century_rebellion";1;1;
"century_rul";1;1;
"ceram";1;1;
"ceramics_book";1;1;
"chagal";1;1;
"chagall_subst";1;1;
"challeng";1;1;
"challenges_fac";1;1;
"champagn";2;2;
"champagne_ardenn";2;2;
"chapel";1;2;
"chapelle_";1;1;
"chapelle_jan";1;1;
"charent";7;10;
"charentes_atlant";7;10;
"charm";1;1;
"charm_la";1;1;
"check";10;21;
"check_cut";1;1;
"checkconnect";10;20;
"checkconnection_tempcooki";10;20;
"checked_secur";10;20;
"cherri";1;1;
"cherries_muscat";1;1;
"chestnut";1;1;
"chestnut_leav";1;1;
"chic_contrast";1;1;
"chic_port";1;1;
"chief";2;2;
"chief_interest";1;1;
"chief_tourist";1;1;
"childéric";1;1;
"childéric_ii";1;1;
"christian";1;1;
"christianity_clovi";1;1;
"christma";1;1;
"christmas_market";1;1;
"church";3;4;
"churches_built";1;1;
"churches_genoes";1;1;
"churches_museum";1;1;
"churches_st";1;1;
"churn";2;2;
"churned_car";1;1;
"churned_trench";1;1;
"château";1;1;
"château_d";1;1;
"châteauneuf";1;1;
"châteauneuf_du";1;1;
"cinema";1;1;
"cinema_jazz";1;1;
"circl";1;1;
"circles_bagad";1;1;
"citadel";1;2;
"citadelle_fabul";1;1;
"citadelle_surviv";1;1;
"citi";4;26;
"cities_testimoni";1;1;
"citizen";1;1;
"citizens_welcom";1;1;
"city_";1;7;
"city_administr";1;1;
"city_becam";1;1;
"city_cal";1;1;
"city_cam";1;1;
"city_capit";1;1;
"city_centuri";1;1;
"city_commerc";1;1;
"city_europ";1;1;
"city_experienc";1;1;
"city_forward";1;1;
"city_intrigu";1;1;
"city_plan";1;1;
"city_possess";1;1;
"city_russian";1;1;
"city_signatur";1;1;
"city_smash";1;1;
"city_steadili";1;1;
"city_traumat";1;1;
"cité";1;1;
"cité_conqu";1;1;
"civil_serv";1;1;
"claim";1;1;
"claiming_irrevoc";1;1;
"clam";1;1;
"clams_periwinkl";1;1;
"clandestin";1;1;
"clandestine_arm";1;1;
"class";1;1;
"class_louvr";1;1;
"classic";1;1;
"classical_styl";1;1;
"cliff";2;2;
"cliffs_rock";1;1;
"cliffs_southern";1;1;
"climat";2;2;
"climate_divers";1;1;
"climate_interwar";1;1;
"climb";1;1;
"climb_eiffel";1;1;
"cloud";1;1;
"cloud_glass";1;1;
"clovi";1;1;
"clovis_frank";1;1;
"coast";8;17;
"coast_annu";1;1;
"coast_book";2;2;
"coast_interior";1;1;
"coast_limousin";6;6;
"coast_nam";1;1;
"coast_napoleon";1;1;
"coast_overdevelop";1;1;
"coast_rough";4;4;
"cod";1;2;
"cod_anchovi";1;1;
"cod_veget";1;1;
"collecting_report";10;10;
"collection_contemporari";1;1;
"collection_impressionist";1;1;
"collection_picasso";1;1;
"collections_includ";1;1;
"colon";2;2;
"colonized_campsit";1;1;
"colonized_vik";1;1;
"comb";1;1;
"comb_anci";1;1;
"come_coast";1;1;
"come_dentel";1;1;
"come_effect";1;1;
