"word";"in documents";"total";"att_1"
"conquered_c";1;1;
"consent";10;10;
"consent_stor";10;10;
"consists_seri";1;1;
"contain_museum";1;1;
"contains_account";1;1;
"contains_room";1;1;
"contemporari";3;3;
"contemporary_art";3;3;
"control";1;1;
"control_collaps";1;1;
"cooki";10;40;
"cookies_help";10;20;
"cookies_statist";10;10;
"cookies_track";10;10;
"copyright";10;10;
"copyright_apa";10;10;
"corner";1;1;
"corner_squar";1;1;
"countri";1;1;
"country_";1;1;
"countrysid";1;1;
"countryside_surround";1;1;
"crane";1;1;
"cranes_fam";1;1;
"cross";1;1;
"crosses_quiet";1;1;
"crowd";9;10;
"crowds_krakow";9;9;
"crowds_opt";1;1;
"crucibl";1;1;
"crucible_polit";1;1;
"crypt";1;1;
"crypt_pass";1;1;
"cultur";2;3;
"cultural_centr";1;1;
"culture_picturesqu";1;1;
"culture_sci";1;1;
"curiou";1;1;
"curious_baroqu";1;1;
"czartoryski";1;1;
"czartoryski_palac";1;1;
"czech";1;1;
"czech_republ";1;1;
"dai";1;1;
"daili";4;4;
"daily_april";1;1;
"daily_dusk";1;1;
"daily_pm";2;2;
"data";10;10;
"data_process";10;10;
"datr";10;20;
"datr_fr";10;20;
"day_tourist";1;1;
"dead_perc";1;1;
"dec";1;1;
"depart";1;1;
"depart_hour";1;1;
"deport";1;1;
"deported_block";1;1;
"depth";10;10;
"deselect";10;10;
"deselected_necessari";10;10;
"destruct";1;1;
"destruction_c";1;1;
"detail";1;1;
"detailed_exhibit";1;1;
"dictionari";1;1;
"dictionary_french";1;1;
"died_block";1;1;
"digit";10;20;
"digital_ag";10;20;
"discount";10;10;
"discounts_competit";10;10;
"displai";10;11;
"display_ad";10;10;
"display_rel";1;1;
"district";2;2;
"district_group";1;1;
"districts_arti";1;1;
"divers";1;1;
"diversity_encompass";1;1;
"dock";1;1;
"docked_furth";1;1;
"domin";1;1;
"doubl";1;1;
"double_book";1;1;
"dozen";1;1;
"dozens_ul";1;1;
"dream";10;10;
"dream_travel";10;10;
"drive";1;1;
"drive_fil";1;1;
"dusk";1;1;
"dusk_guid";1;1;
"dynam";2;2;
"dynamic_nightlif";1;1;
"d?ugi";1;1;
"d?ugi_targ";1;1;
"earth";1;1;
"earth_book";1;1;
"east_li";1;1;
"eastern_europ";9;9;
"eastward_lakefront";1;1;
"easy_forget";1;1;
"ebook_sign";10;10;
"edific";1;1;
"edifices_includ";1;1;
"elsewher";1;1;
"elsewhere_poland";1;1;
"en_suit";1;1;
"enabl";10;10;
"encompass";1;1;
"encompassing_tranquil";1;1;
"end";1;1;
"end_ul";1;1;
"engag";10;10;
"engaging_individu";10;10;
"enjoys_dynam";1;1;
"enorm";1;1;
"entranc";1;1;
"entrance_g";1;1;
"era";1;1;
"era_apart";1;1;
"escap";9;9;
"escape_crowd";9;9;
"essential_walk";1;1;
"essentially_undamag";1;1;
"estim";1;1;
"estimated_di";1;1;
"europ";10;37;
"europe_";3;4;
"europe_budget";10;21;
"europe_numer";1;1;
"europe_part";1;1;
"europe_poland";1;1;
"europe_wint";9;9;
"excepted_caus";1;1;
"exhaust";10;10;
"exhausting_plac";10;10;
"exhibit";1;2;
"exhibition_primit";1;1;
"exhibition_solidar";1;1;
"expans";1;1;
"expanse_lak";1;1;
"experi";10;11;
"experienc";10;10;
"experience_centr";10;10;
"experienced_travel";10;10;
"experiences_get";1;1;
"expert";10;30;
"expert_advic";10;10;
"experts_help";10;10;
"experts_rough";10;10;
"explor";10;12;
"explore_book";8;8;
"explore_find";1;1;
"explore_plac";1;1;
"explore_t";1;1;
"ext";10;20;
"ext_ref";10;20;
"extern";10;20;
"external_refer";10;20;
"extinguish";1;1;
"extinguished_nazi";1;1;
"extra_z?";1;1;
"facad";2;2;
"facade_fram";1;1;
"facades_hal";1;1;
"fact";1;1;
"facts_india";1;1;
"fairs_tak";1;1;
"famou";1;1;
"famous_gda?sk";1;1;
"fb";10;40;
"fb_gate";10;20;
"fb_ref";10;20;
"featur";9;18;
"features_block";1;1;
"features_daili";1;1;
"features_end";1;1;
"features_heart";2;2;
"features_latest";9;9;
"features_pack";1;1;
"features_ten";1;1;
"features_thank";1;1;
"feel";1;1;
"feels_lot";1;1;
"file";1;1;
"file_articl";1;1;
"fill";10;10;
"filled_expert";10;10;
"find_book";1;1;
"find_centr";1;1;
"find_dozen";1;1;
"find_explor";8;8;
"fine";1;1;
"finest_art";1;1;
"finish";1;1;
"finish_ga";1;1;
"floor";1;1;
"floor_east";1;1;
"flourished_europ";1;1;
"food";10;10;
"food_world";10;10;
"forest";2;2;
"forested_rambl";1;1;
"forests_north";1;1;
"form";1;1;
"formed_anti";1;1;
"fr";10;20;
"fr_highcontrast";10;20;
"frame";1;1;
"frames_friez";1;1;
"franc";2;2;
"france_pyrene";1;1;
"free_cheap";1;1;
"free_internet";1;1;
"free_languag";1;1;
"free_worth";1;1;
"french";1;1;
"fresh_bread";1;1;
"fri";1;2;
"fri_noon";1;2;
"friendli";1;1;
"friendly_plac";1;1;
"friez";1;1;
"function";10;20;
"function_properli";10;10;
"functions_pag";10;10;
"further_north";1;1;
"ga";1;1;
"gad";10;20;
"gads_pisid";10;20;
"galleri";9;9;
"galleries_quizz";9;9;
"galx";10;20;
"galx_gap";10;20;
"gap";10;20;
"gaps_googleaccountslocal";10;20;
"gas_chamb";1;1;
"gate";10;23;
"gate_bear";1;1;
"gate_reg";10;20;
"gates_monu";1;1;
"gates_tu";1;1;
"gatewai";1;1;
"gateway_giv";1;1;
"gda?sk";1;1;
"gda?sk_cruc";1;1;
"gener";1;1;
"general_rul";1;1;
"genuin";1;1;
"genuine_wild";1;1;
"german";2;2;
"german_invas";1;1;
"germans_retr";1;1;
"ghent";1;1;
"ghent_poland";1;1;
"giving_access";1;1;
"gleam";1;1;
"gleaming_offic";1;1;
"good_priv";1;1;
"googleaccountslocale_sess";10;20;
