"value";"word";"in documents";"total";"id"
"0.0956077047468653";;;;"airport"
"0.0956077047468653";;;;"building"
"0.0956077047468653";;;;"mount"
"0.0956077047468653";;;;"mountain_air"
"0.0956077047468653";;;;"museum_"
"0.0956077047468653";;;;"town_histor"
"0.0956077047468653";;;;"trade_railwai"
"0.0956077047468653";;;;"tree_"
"0.0956077047468653";;;;"cult"
"0.0956077047468653";;;;"cultural_religi"
"0.0956077047468653";;;;"cycl"
"0.0956077047468653";;;;"landscape"
"0.0956077047468653";;;;"danc"
"0.0956077047468653";;;;"buse"
"0.0956077047468653";;;;"explore"
"0.0956077047468653";;;;"explore_find"
"0.0956077047468653";;;;"float"
"0.0956077047468653";;;;"island"
"0.0956077047468653";;;;"lake"
