"Date";"Price_ural";"Price_brent";"Price_wti"
4/4/18 12:00 AM;66.51933700774822;66.04;63.35
4/5/18 12:00 AM;65.82;66.54;63.53
4/6/18 12:00 AM;65.12;66.51;62.03
4/7/18 12:00 AM;66.73588693957115;69.25940170940171;64.48838095238095
4/8/18 12:00 AM;66.74863547758285;69.57462462462462;64.5351746031746
4/9/18 12:00 AM;65.82;68.19;63.4
4/10/18 12:00 AM;66.3;70.67;65.48
4/11/18 12:00 AM;67.49499999999999;72.74;66.81
4/12/18 12:00 AM;67.52890873015873;71.44;67.07
4/13/18 12:00 AM;68.68;73.18;67.35
4/14/18 12:00 AM;67.59128352490421;72.30879365079366;66.78342857142857
4/15/18 12:00 AM;67.94835249042144;72.3428888888889;66.80761904761906
4/16/18 12:00 AM;67.56;72.05;66.23
4/17/18 12:00 AM;68.44536398467433;71.71;66.5
4/18/18 12:00 AM;68.9;73.73;68.44
4/19/18 12:00 AM;70.61;74.85;68.3
4/20/18 12:00 AM;68.51996527777777;74.62;68.26
4/21/18 12:00 AM;69.01242424242425;74.19714285714286;67.73987301587302
4/22/18 12:00 AM;69.02983660130718;74.22238095238096;67.74568253968253
4/23/18 12:00 AM;70.61;74.54;67.61
4/24/18 12:00 AM;69.4779299847793;75.86;67.66
4/25/18 12:00 AM;69.84;73.79;68.0
4/26/18 12:00 AM;70.19603174603175;75.39;68.18
4/27/18 12:00 AM;70.64;75.33;68.11
4/28/18 12:00 AM;70.70127572016462;74.72184126984126;68.13707936507937
4/29/18 12:00 AM;70.71846050870147;74.71295238095239;68.14453968253969
4/30/18 12:00 AM;70.7348366013072;75.92;68.56
5/1/18 12:00 AM;71.33475816993463;74.85;67.28
5/2/18 12:00 AM;71.35090196078433;73.14;67.91
5/3/18 12:00 AM;71.8246184738956;73.45;68.45
5/4/18 12:00 AM;70.58;74.75;69.71
5/5/18 12:00 AM;72.15378917378918;75.37344173441734;69.4550476190476
5/6/18 12:00 AM;72.17380116959065;75.65642857142856;69.48955555555555
5/7/18 12:00 AM;70.58;75.69023809523809;70.74
5/8/18 12:00 AM;70.58;74.16;68.83
5/9/18 12:00 AM;72.53411764705882;77.6;71.16
5/10/18 12:00 AM;74.09;77.59;71.36
5/11/18 12:00 AM;73.85;77.37;70.69
5/12/18 12:00 AM;73.35530054644809;77.55111111111111;70.92603174603174
5/13/18 12:00 AM;73.37129943502825;77.8930930930931;70.93777777777777
5/14/18 12:00 AM;73.85;78.17;71.01
5/15/18 12:00 AM;73.40362573099415;78.94;71.34
5/16/18 12:00 AM;73.85;78.19;71.43
5/17/18 12:00 AM;73.59494252873563;80.09;71.47
5/18/18 12:00 AM;73.85;78.38;71.23
5/19/18 12:00 AM;73.60455555555556;78.69415873015873;71.17307936507936
5/20/18 12:00 AM;73.98750455373406;78.69155555555555;71.16803174603174
5/21/18 12:00 AM;73.85;78.34;72.26
5/22/18 12:00 AM;74.02959927140255;80.42;72.09
